"covariate","mean","95% CI","species"
"Cultivated crop",21457,"1069-50000","White-eyed Vireo"
"Woody wetland",1069,"1069-1069","White-eyed Vireo"
"Emergent wetland",25535,"1069-50000","White-eyed Vireo"
"Ocean",19418,"50-50000","White-eyed Vireo"
"Lakes",17380,"1069-50000","White-eyed Vireo"
"Rivers",13302,"1069-47961","White-eyed Vireo"
"Elevation",15341,"50-50000","White-eyed Vireo"
"Aspect",21457,"1069-50000","White-eyed Vireo"
"Slope",11263,"50-50000","White-eyed Vireo"
"Precipitation",20000,"1000-50000","White-eyed Vireo"
"Developed high intensity",25535,"1069-50000","White-eyed Vireo"
"Max temperature",34000,"4000-50000","White-eyed Vireo"
"Barren land",17380,"3108-47961","White-eyed Vireo"
"Deciduous forest",4128,"1069-15341","White-eyed Vireo"
"Evergreen forest",3108,"1069-8205","White-eyed Vireo"
"Mixed forest",4128,"1069-41845","White-eyed Vireo"
"Shrub scrub",11263,"1069-47961","White-eyed Vireo"
"Grassland herbaceous",21457,"2089-47961","White-eyed Vireo"
"Pasture hay",25535,"1069-50000","White-eyed Vireo"
"Developed low intensity",5147,"1069-41845","White-faced Ibis"
"Cultivated crop",7186,"50-37767","White-faced Ibis"
"Woody wetland",23496,"1069-50000","White-faced Ibis"
"Emergent wetland",8205,"1069-50000","White-faced Ibis"
"Ocean",29612,"2089-50000","White-faced Ibis"
"Lakes",29612,"1069-50000","White-faced Ibis"
"Rivers",23496,"1069-50000","White-faced Ibis"
"Elevation",17380,"50-50000","White-faced Ibis"
"Aspect",25535,"1069-50000","White-faced Ibis"
"Slope",11263,"1069-47961","White-faced Ibis"
"Precipitation",22000,"1000-50000","White-faced Ibis"
"Developed high intensity",19418,"50-50000","White-faced Ibis"
"Max temperature",20000,"1000-50000","White-faced Ibis"
"Barren land",33690,"5147-50000","White-faced Ibis"
"Deciduous forest",15341,"1069-47961","White-faced Ibis"
"Evergreen forest",21457,"1069-50000","White-faced Ibis"
"Mixed forest",17380,"50-50000","White-faced Ibis"
"Shrub scrub",17380,"2089-47961","White-faced Ibis"
"Grassland herbaceous",19418,"50-50000","White-faced Ibis"
"Pasture hay",13302,"1069-47961","White-faced Ibis"
"Developed low intensity",23496,"1069-50000","White-headed Woodpecker"
"Cultivated crop",19418,"50-50000","White-headed Woodpecker"
"Woody wetland",19418,"1069-50000","White-headed Woodpecker"
"Emergent wetland",21457,"1069-50000","White-headed Woodpecker"
"Ocean",19418,"1069-50000","White-headed Woodpecker"
"Lakes",31651,"1069-45922","White-headed Woodpecker"
"Rivers",17380,"50-50000","White-headed Woodpecker"
"Elevation",17380,"1069-47961","White-headed Woodpecker"
"Aspect",25535,"50-50000","White-headed Woodpecker"
"Slope",17380,"50-50000","White-headed Woodpecker"
"Precipitation",18000,"1000-50000","White-headed Woodpecker"
"Developed high intensity",21457,"50-50000","White-headed Woodpecker"
"Max temperature",16000,"1000-48000","White-headed Woodpecker"
"Barren land",17380,"50-50000","White-headed Woodpecker"
"Deciduous forest",19418,"1069-50000","White-headed Woodpecker"
"Evergreen forest",8205,"1069-45922","White-headed Woodpecker"
"Mixed forest",25535,"1069-50000","White-headed Woodpecker"
"Shrub scrub",29612,"1069-50000","White-headed Woodpecker"
"Grassland herbaceous",17380,"50-47961","White-headed Woodpecker"
"Pasture hay",15341,"50-47961","White-headed Woodpecker"
"Developed low intensity",45922,"17380-50000","White-throated Sparrow"
"Cultivated crop",19418,"50-50000","White-throated Sparrow"
"Woody wetland",1069,"1069-1069","White-throated Sparrow"
"Emergent wetland",27573,"1069-50000","White-throated Sparrow"
"Ocean",29612,"2089-50000","White-throated Sparrow"
"Lakes",7186,"50-41845","White-throated Sparrow"
"Rivers",21457,"50-50000","White-throated Sparrow"
"Elevation",9224,"50-47961","White-throated Sparrow"
"Aspect",13302,"1069-47961","White-throated Sparrow"
"Slope",37767,"7186-50000","White-throated Sparrow"
"Precipitation",18000,"1000-50000","White-throated Sparrow"
"Developed high intensity",17380,"1069-50000","White-throated Sparrow"
"Max temperature",3000,"1000-48000","White-throated Sparrow"
"Barren land",13302,"50-50000","White-throated Sparrow"
"Deciduous forest",17380,"1069-50000","White-throated Sparrow"
"Evergreen forest",29612,"1069-50000","White-throated Sparrow"
"Mixed forest",23496,"1069-47961","White-throated Sparrow"
"Shrub scrub",10244,"50-47961","White-throated Sparrow"
"Grassland herbaceous",25535,"1069-50000","White-throated Sparrow"
"Pasture hay",11263,"5147-47961","White-throated Sparrow"
"Developed low intensity",11263,"50-47961","White-throated Swift"
"Cultivated crop",21457,"50-50000","White-throated Swift"
"Woody wetland",17380,"1069-50000","White-throated Swift"
"Emergent wetland",21457,"1069-47961","White-throated Swift"
"Ocean",19418,"50-50000","White-throated Swift"
"Lakes",25535,"50-50000","White-throated Swift"
"Rivers",21457,"50-50000","White-throated Swift"
"Elevation",19418,"50-50000","White-throated Swift"
"Aspect",23496,"1069-50000","White-throated Swift"
"Slope",2089,"1069-4128","White-throated Swift"
"Precipitation",22000,"1000-50000","White-throated Swift"
"Developed high intensity",19418,"50-50000","White-throated Swift"
"Max temperature",18000,"1000-48000","White-throated Swift"
"Barren land",21457,"50-50000","White-throated Swift"
"Deciduous forest",15341,"1069-47961","White-throated Swift"
"Evergreen forest",17380,"1069-50000","White-throated Swift"
"Mixed forest",25535,"2089-50000","White-throated Swift"
"Shrub scrub",9224,"1069-45922","White-throated Swift"
"Grassland herbaceous",23496,"50-50000","White-throated Swift"
"Pasture hay",19418,"50-50000","White-throated Swift"
"Developed low intensity",1069,"1069-2089","White-winged Dove"
"Cultivated crop",29612,"2089-50000","White-winged Dove"
"Woody wetland",27573,"5147-50000","White-winged Dove"
"Emergent wetland",25535,"1069-50000","White-winged Dove"
"Ocean",13302,"4128-47961","White-winged Dove"
"Lakes",43884,"15341-50000","White-winged Dove"
"Rivers",31651,"50-50000","White-winged Dove"
"Elevation",25535,"1069-50000","White-winged Dove"
"Aspect",33690,"3108-50000","White-winged Dove"
"Slope",8205,"1069-47961","White-winged Dove"
"Precipitation",36000,"11000-50000","White-winged Dove"
"Developed high intensity",13302,"50-47961","White-winged Dove"
"Max temperature",44000,"34000-50000","White-winged Dove"
"Barren land",31651,"50-50000","White-winged Dove"
"Deciduous forest",35729,"2089-50000","White-winged Dove"
"Evergreen forest",23496,"2089-50000","White-winged Dove"
"Mixed forest",13302,"2089-47961","White-winged Dove"
"Shrub scrub",35729,"2089-50000","White-winged Dove"
"Grassland herbaceous",5147,"50-29612","White-winged Dove"
"Pasture hay",1069,"50-21457","White-winged Dove"
"Developed low intensity",29612,"1069-50000","White Ibis"
"Cultivated crop",8205,"50-47961","White Ibis"
"Woody wetland",21457,"50-50000","White Ibis"
"Emergent wetland",50,"50-50","White Ibis"
"Ocean",11263,"2089-47961","White Ibis"
"Lakes",13302,"50-50000","White Ibis"
"Rivers",21457,"2089-45922","White Ibis"
"Elevation",13302,"50-47961","White Ibis"
"Aspect",19418,"2089-47961","White Ibis"
"Slope",23496,"1069-50000","White Ibis"
"Precipitation",24000,"2000-50000","White Ibis"
"Developed high intensity",27573,"2089-50000","White Ibis"
"Max temperature",24000,"1000-50000","White Ibis"
"Barren land",27573,"1069-50000","White Ibis"
"Deciduous forest",15341,"50-50000","White Ibis"
"Evergreen forest",13302,"1069-47961","White Ibis"
"Mixed forest",23496,"1069-50000","White Ibis"
"Shrub scrub",17380,"2089-50000","White Ibis"
"Grassland herbaceous",13302,"2089-47961","White Ibis"
"Pasture hay",25535,"50-50000","White Ibis"
"Developed low intensity",13302,"1069-50000","Wild Turkey"
"Cultivated crop",3108,"50-41845","Wild Turkey"
"Woody wetland",6166,"1069-45922","Wild Turkey"
"Emergent wetland",27573,"50-50000","Wild Turkey"
"Ocean",13302,"1069-47961","Wild Turkey"
"Lakes",9224,"1069-47961","Wild Turkey"
"Rivers",13302,"50-50000","Wild Turkey"
"Elevation",21457,"50-50000","Wild Turkey"
"Aspect",15341,"50-50000","Wild Turkey"
"Slope",6166,"50-45922","Wild Turkey"
"Precipitation",22000,"1000-50000","Wild Turkey"
"Developed high intensity",5147,"50-47961","Wild Turkey"
"Max temperature",14000,"2000-46000","Wild Turkey"
"Barren land",29612,"1069-50000","Wild Turkey"
"Deciduous forest",1069,"1069-1069","Wild Turkey"
"Evergreen forest",10244,"1069-47961","Wild Turkey"
"Mixed forest",13302,"1069-47961","Wild Turkey"
"Shrub scrub",19418,"1069-50000","Wild Turkey"
"Grassland herbaceous",15341,"1069-50000","Wild Turkey"
"Pasture hay",29612,"4128-50000","Wild Turkey"
"Developed low intensity",21457,"2089-47961","Willet"
"Cultivated crop",17380,"50-50000","Willet"
"Woody wetland",15341,"50-50000","Willet"
"Emergent wetland",1069,"50-6166","Willet"
"Ocean",2089,"1069-33690","Willet"
"Lakes",11263,"2089-47961","Willet"
"Rivers",25535,"1069-50000","Willet"
"Elevation",21457,"50-50000","Willet"
"Aspect",8205,"1069-43884","Willet"
"Slope",15341,"1069-50000","Willet"
"Precipitation",20000,"1000-50000","Willet"
"Developed high intensity",23496,"50-50000","Willet"
"Max temperature",20000,"1000-50000","Willet"
"Barren land",15341,"1069-50000","Willet"
"Deciduous forest",21457,"50-50000","Willet"
"Evergreen forest",9224,"1069-37767","Willet"
"Mixed forest",17380,"50-50000","Willet"
"Shrub scrub",19418,"50-50000","Willet"
"Grassland herbaceous",21457,"50-50000","Willet"
"Pasture hay",17380,"50-50000","Willet"
"Developed low intensity",1069,"1069-3108","Willow Flycatcher"
"Cultivated crop",7186,"50-37767","Willow Flycatcher"
"Woody wetland",50,"50-50","Willow Flycatcher"
"Emergent wetland",50,"50-50","Willow Flycatcher"
"Ocean",15341,"50-50000","Willow Flycatcher"
"Lakes",19418,"50-50000","Willow Flycatcher"
"Rivers",37767,"6166-50000","Willow Flycatcher"
"Elevation",6166,"50-43884","Willow Flycatcher"
"Aspect",21457,"50-50000","Willow Flycatcher"
"Slope",11263,"1069-47961","Willow Flycatcher"
"Precipitation",22000,"1000-50000","Willow Flycatcher"
"Developed high intensity",19418,"50-50000","Willow Flycatcher"
"Max temperature",32000,"2000-50000","Willow Flycatcher"
"Barren land",15341,"1069-47961","Willow Flycatcher"
"Deciduous forest",3108,"50-41845","Willow Flycatcher"
"Evergreen forest",31651,"50-50000","Willow Flycatcher"
"Mixed forest",9224,"50-35729","Willow Flycatcher"
"Shrub scrub",13302,"1069-47961","Willow Flycatcher"
"Grassland herbaceous",15341,"50-50000","Willow Flycatcher"
"Pasture hay",1069,"50-1069","Willow Flycatcher"
"Developed low intensity",9224,"1069-45922","Wilson's Phalarope"
"Cultivated crop",6166,"50-41845","Wilson's Phalarope"
"Woody wetland",13302,"50-47961","Wilson's Phalarope"
"Emergent wetland",13302,"1069-47961","Wilson's Phalarope"
"Ocean",15341,"1069-50000","Wilson's Phalarope"
"Lakes",10244,"50-47961","Wilson's Phalarope"
"Rivers",19418,"50-50000","Wilson's Phalarope"
"Elevation",17380,"50-50000","Wilson's Phalarope"
"Aspect",17380,"1069-50000","Wilson's Phalarope"
"Slope",9224,"1069-41845","Wilson's Phalarope"
"Precipitation",22000,"1000-50000","Wilson's Phalarope"
"Developed high intensity",19418,"50-50000","Wilson's Phalarope"
"Max temperature",18000,"1000-50000","Wilson's Phalarope"
"Barren land",19418,"50-50000","Wilson's Phalarope"
"Deciduous forest",13302,"1069-45922","Wilson's Phalarope"
"Evergreen forest",13302,"50-47961","Wilson's Phalarope"
"Mixed forest",19418,"1069-50000","Wilson's Phalarope"
"Shrub scrub",19418,"50-50000","Wilson's Phalarope"
"Grassland herbaceous",29612,"2089-50000","Wilson's Phalarope"
"Pasture hay",21457,"1069-50000","Wilson's Phalarope"
"Developed low intensity",9224,"1069-47961","Wilson's Snipe"
"Cultivated crop",21457,"50-50000","Wilson's Snipe"
"Woody wetland",3108,"50-37767","Wilson's Snipe"
"Emergent wetland",1069,"1069-1069","Wilson's Snipe"
"Ocean",21457,"1069-50000","Wilson's Snipe"
"Lakes",19418,"50-50000","Wilson's Snipe"
"Rivers",10244,"50-47961","Wilson's Snipe"
"Elevation",21457,"50-50000","Wilson's Snipe"
"Aspect",23496,"50-50000","Wilson's Snipe"
"Slope",5147,"50-47961","Wilson's Snipe"
"Precipitation",18000,"1000-50000","Wilson's Snipe"
"Developed high intensity",19418,"1069-50000","Wilson's Snipe"
"Max temperature",24000,"2000-50000","Wilson's Snipe"
"Barren land",21457,"50-50000","Wilson's Snipe"
"Deciduous forest",11263,"50-47961","Wilson's Snipe"
"Evergreen forest",15341,"50-50000","Wilson's Snipe"
"Mixed forest",31651,"50-50000","Wilson's Snipe"
"Shrub scrub",19418,"50-50000","Wilson's Snipe"
"Grassland herbaceous",17380,"2089-47961","Wilson's Snipe"
"Pasture hay",1069,"1069-1069","Wilson's Snipe"
"Developed low intensity",13302,"1069-47961","Wilson's Warbler"
"Cultivated crop",17380,"50-50000","Wilson's Warbler"
"Woody wetland",25535,"3108-50000","Wilson's Warbler"
"Emergent wetland",17380,"50-50000","Wilson's Warbler"
"Ocean",17380,"1069-50000","Wilson's Warbler"
"Lakes",25535,"2089-50000","Wilson's Warbler"
"Rivers",19418,"50-50000","Wilson's Warbler"
"Elevation",21457,"4128-47961","Wilson's Warbler"
"Aspect",37767,"10244-50000","Wilson's Warbler"
"Slope",37767,"1069-50000","Wilson's Warbler"
"Precipitation",24000,"2000-50000","Wilson's Warbler"
"Developed high intensity",8205,"1069-45922","Wilson's Warbler"
"Max temperature",5000,"1000-26000","Wilson's Warbler"
"Barren land",17380,"1069-47961","Wilson's Warbler"
"Deciduous forest",15341,"1069-50000","Wilson's Warbler"
"Evergreen forest",5147,"50-41845","Wilson's Warbler"
"Mixed forest",23496,"50-50000","Wilson's Warbler"
"Shrub scrub",27573,"1069-50000","Wilson's Warbler"
"Grassland herbaceous",13302,"50-50000","Wilson's Warbler"
"Pasture hay",29612,"1069-50000","Wilson's Warbler"
"Developed low intensity",9224,"1069-41845","Winter Wren"
"Cultivated crop",19418,"1069-50000","Winter Wren"
"Woody wetland",5147,"50-43884","Winter Wren"
"Emergent wetland",15341,"50-50000","Winter Wren"
"Ocean",15341,"1069-50000","Winter Wren"
"Lakes",15341,"50-47961","Winter Wren"
"Rivers",19418,"50-50000","Winter Wren"
"Elevation",19418,"50-50000","Winter Wren"
"Aspect",15341,"50-47961","Winter Wren"
"Slope",11263,"50-47961","Winter Wren"
"Precipitation",20000,"1000-50000","Winter Wren"
"Developed high intensity",19418,"1069-50000","Winter Wren"
"Max temperature",2000,"1000-8000","Winter Wren"
"Barren land",5147,"2089-10244","Winter Wren"
"Deciduous forest",15341,"50-50000","Winter Wren"
"Evergreen forest",10244,"1069-45922","Winter Wren"
"Mixed forest",13302,"1069-50000","Winter Wren"
"Shrub scrub",41845,"7186-50000","Winter Wren"
"Grassland herbaceous",15341,"1069-50000","Winter Wren"
"Pasture hay",5147,"50-45922","Winter Wren"
"Developed low intensity",15341,"50-50000","Wood Duck"
"Cultivated crop",23496,"1069-50000","Wood Duck"
"Woody wetland",50,"50-50","Wood Duck"
"Emergent wetland",50,"50-50","Wood Duck"
"Ocean",10244,"1069-43884","Wood Duck"
"Lakes",50,"50-2089","Wood Duck"
"Rivers",10244,"50-50000","Wood Duck"
"Elevation",6166,"50-43884","Wood Duck"
"Aspect",4128,"50-43884","Wood Duck"
"Slope",10244,"50-47961","Wood Duck"
"Precipitation",20000,"1000-50000","Wood Duck"
"Developed high intensity",13302,"50-47961","Wood Duck"
"Max temperature",12000,"1000-48000","Wood Duck"
"Barren land",17380,"50-47961","Wood Duck"
"Deciduous forest",25535,"3108-50000","Wood Duck"
"Evergreen forest",19418,"50-50000","Wood Duck"
"Mixed forest",11263,"50-47961","Wood Duck"
"Shrub scrub",19418,"1069-50000","Wood Duck"
"Grassland herbaceous",19418,"50-50000","Wood Duck"
"Pasture hay",9224,"1069-43884","Wood Duck"
"Developed low intensity",27573,"1069-50000","Wood Stork"
"Cultivated crop",19418,"1069-50000","Wood Stork"
"Woody wetland",21457,"50-50000","Wood Stork"
"Emergent wetland",5147,"50-43884","Wood Stork"
"Ocean",10244,"1069-47961","Wood Stork"
"Lakes",37767,"1069-50000","Wood Stork"
"Rivers",15341,"1069-47961","Wood Stork"
"Elevation",17380,"50-50000","Wood Stork"
"Aspect",25535,"1069-50000","Wood Stork"
"Slope",21457,"2089-50000","Wood Stork"
"Precipitation",20000,"1000-50000","Wood Stork"
"Developed high intensity",15341,"1069-47961","Wood Stork"
"Max temperature",20000,"1000-50000","Wood Stork"
"Barren land",17380,"1069-47961","Wood Stork"
"Deciduous forest",21457,"50-50000","Wood Stork"
"Evergreen forest",17380,"50-50000","Wood Stork"
"Mixed forest",17380,"1069-50000","Wood Stork"
"Shrub scrub",15341,"50-50000","Wood Stork"
"Grassland herbaceous",17380,"50-47961","Wood Stork"
"Pasture hay",19418,"50-50000","Wood Stork"
"Developed low intensity",50,"50-3108","Wood Thrush"
"Cultivated crop",31651,"1069-50000","Wood Thrush"
"Woody wetland",13302,"50-47961","Wood Thrush"
"Emergent wetland",17380,"2089-47961","Wood Thrush"
"Ocean",17380,"50-50000","Wood Thrush"
"Lakes",15341,"1069-50000","Wood Thrush"
"Rivers",21457,"50-50000","Wood Thrush"
"Elevation",21457,"1069-50000","Wood Thrush"
"Aspect",13302,"1069-50000","Wood Thrush"
"Slope",13302,"50-50000","Wood Thrush"
"Precipitation",22000,"1000-50000","Wood Thrush"
"Developed high intensity",4128,"50-29612","Wood Thrush"
"Max temperature",8000,"3000-20000","Wood Thrush"
"Barren land",21457,"50-50000","Wood Thrush"
"Deciduous forest",1069,"1069-1069","Wood Thrush"
"Evergreen forest",15341,"50-47961","Wood Thrush"
"Mixed forest",6166,"50-47961","Wood Thrush"
"Shrub scrub",19418,"2089-47961","Wood Thrush"
"Grassland herbaceous",10244,"50-50000","Wood Thrush"
"Pasture hay",19418,"50-50000","Wood Thrush"
"Developed low intensity",7186,"50-43884","Worm-eating Warbler"
"Cultivated crop",10244,"1069-47961","Worm-eating Warbler"
"Woody wetland",50,"50-50","Worm-eating Warbler"
